y,x,n,r.squared,adj.r.squared,AIC,BIC,sigma,p.value
Prog_Proficiency,Score_Avg,51,0.026208123481183947,0.006334819878759168,216.80644075792594,222.60191765609892,1.949930918337225,0.2563900551915712
Stat_Proficiency,Score_Avg,51,0.15633155511423596,0.13911383174922032,223.0633011772997,228.85877807547269,2.073287919928818,0.004083216516294069
Math_Proficiency,Score_Avg,51,0.0036734817032821544,-0.01665971254767129,229.4793202355049,235.27479713367788,2.207891222217536,0.672663810653311
